code,condition
49,"Fog, depositing rime, sky invisible."
50,"Drizzle, not freezing, intermittent. Slight at the time of observation"
51,"Drizzle, not freezing, continuous. Slight at the time of observation"
52,"Drizzle, not freezing, intermittent. Moderate at time of Observation"
53,"Drizzle, not freezing, Continuous. Moderate at time of Observation"
54,"Drizzle, not freezing, intermittent. Heavy(dense) at time of Observation"
55,"Drizzle, not freezing, Continuous. Heavy(dense) at time of Observation"
56,"Drizzle, freezing, slight."
57,"Drizzle, freezing, moderate or heavy (dense)"
58,"Drizzle, and rain, slight."
59,"Drizzle and rain, moderate or heavy"
60,"Rain, not freezing, intermittent. Slight at time of observation"
61,"Rain, not freezing, continuous  Slight at time of observation"
62,"Rain, not freezing, intermittent Moderate at time of Observation"
63,"Rain, not freezing, continuous  Moderate at time of Observation"
64,"Rain, not freezing, intermittent Heavy at time of Observation"
65,"Rain, not freezing, continuous Heavy at time of Observation"
66,"Rain, freezing, slight"
67,"Rain, freezing, moderate or heavy,"
68,"Rain, or drizzle and snow, slight."
69,"Rain or drizzle and snow, moderate or heavy"
70,Intermittent fall of snow flakes Slight at time of observation
71,Continuous fall of snow flakes Moderate at time of observation
72,Intermittent fall of snow flake Moderate at time of observation
73,Continuous fall of snow flakes Heavy at time of observation
74,Intermittent fall of snow flakes Heavy at time of observation
75,Continuous fall of snow flakes
76,Ice prisms (with or without fog)
77,Snow grains (with or without fog)
78,Isolated star-like snow crystals (with or without fog)
79,Ice pellets
80,"Rain shower(s), slight"
81,"Rain shower(s), moderate or heavy"
82,"Rain shower(s), violent"
83,"Shower(s) of rain and snow mixed, slight"
84,"Shower(s) of rain and snow mixed, moderate or heavy"
85,"Snow shower(s), slight"
86,"Snow shower(s), moderate or heavy"
87,Shower(s) of snow pellets or small hail with or without rain or rain and snow Mixed. Slight Moderate or heavy
88,Shower(s) of snow pellets or small hail with or without rain or rain and snow Mixed. Slight Moderate or heavy
89,"Shower(s) of hail (French Grele) with or without rain or rain and snow Mixed, not associated with thunder. Slight Moderate or heavy"
90,"Shower(s) of hail (French Grele) with or without rain or rain and snow Mixed, not associated with thunder. Slight Moderate or heavy"
91,Slight rain at time of observation. Thunder-storm during the preceding hour but preceding hour but not at time observation
92,Moderate or heavy rain at time of Observation. Thunder-storm during the preceding hour but preceding hour but not at time observation
93,Slight snow or rain and snow mixed Or hail(*) at time of observation. Thunder-storm during the preceding hour but preceding hour but not at time observation
94,"Moderate or heavy snow, or rain and Snow mixed or hail (*) at time of Observation. Thunder-storm during the preceding hour but preceding hour but not at time observation"
95,"Thunderstorm, slight or moderate Without hail (*) but with rain and/or Snow at time of observation. Thunder-storm at time of observation."
96,"Thunderstorm, slight or moderate With hail (*) at time of observation. Thunder-storm at time of observation."
97,"Thunderstorm, heavy without hail (*) But with rain and/or snow at time of Observation. Thunder-storm at time of observation."
98,Thunderstorm combined with duststorm or sand-storm at time of observation. Thunder-storm at time of observation.
99,"Thunderstorm, heavy with hail(*) at time of observation. Thunder-storm at time of observation."
